# {"t_start": 1568602935.3569562, "env_id": "HalfCheetah-v2"} 
r,l,t
-522.750917,1000,3.257014
-760.645645,1000,4.289927
-560.050598,1000,5.321295
-725.799867,1000,6.369276
-707.162223,1000,7.400472
-621.191404,1000,8.439727
-571.383007,1000,9.471283
-793.282472,1000,10.502043
-658.010647,1000,11.533108
-730.532871,1000,12.570209
-388.946808,1000,15.234471
-509.542267,1000,16.269114
-450.489906,1000,17.312812
-593.4784,1000,18.345855
-751.330221,1000,19.37964
-699.352869,1000,20.413343
-754.650712,1000,21.446031
-673.47327,1000,22.479369
-721.984445,1000,23.513863
-503.769905,1000,24.546137
-673.863881,1000,27.255043
-666.032117,1000,28.289577
-808.386692,1000,29.328291
-608.753425,1000,30.366513
-769.767828,1000,31.401471
-658.705925,1000,32.440169
-576.052519,1000,33.477178
-758.075855,1000,34.511179
-678.443828,1000,35.551233
-474.117958,1000,36.584872
-426.452804,1000,39.277056
-767.516617,1000,40.319581
-462.474445,1000,41.353044
-643.665784,1000,42.387032
-578.860812,1000,43.42361
-721.651793,1000,44.455653
-764.571837,1000,45.491476
-782.531252,1000,46.531907
-639.795867,1000,47.566617
-601.839765,1000,48.601119
-684.828001,1000,51.282695
-523.525775,1000,52.318236
-660.152855,1000,53.354605
-594.400389,1000,54.399643
-338.557685,1000,55.434012
-800.530276,1000,56.466914
-625.028948,1000,57.502271
-593.038869,1000,58.544082
-670.47772,1000,59.578649
-553.397549,1000,60.612805
-615.947029,1000,63.349727
-686.926746,1000,64.402286
-771.873304,1000,65.43661
-560.245596,1000,66.499965
-713.693758,1000,67.533207
-558.010084,1000,68.565736
-520.992641,1000,69.613882
-719.259863,1000,70.660793
-600.122861,1000,71.709145
-730.797181,1000,72.768146
-348.976381,1000,75.482267
-534.041132,1000,76.517246
-667.54026,1000,77.553014
-681.938922,1000,78.618893
-785.513098,1000,79.666952
-540.670375,1000,80.717142
-715.554858,1000,81.770205
-732.503097,1000,82.824409
-544.693079,1000,83.867049
-820.607174,1000,84.917163
-487.003417,1000,87.646182
-308.297439,1000,88.684186
-665.586904,1000,89.7204
-547.420471,1000,90.758024
-548.364098,1000,91.794596
-580.331475,1000,92.845112
-701.061245,1000,93.914586
-505.23372,1000,94.965299
-535.566476,1000,96.023933
-750.153879,1000,97.060261
-464.002521,1000,99.776721
-631.156612,1000,100.816885
-613.69631,1000,101.857648
-539.722643,1000,102.897058
-710.503991,1000,103.935406
-495.579967,1000,104.976636
-694.546617,1000,106.035466
-732.678783,1000,107.072984
-461.975464,1000,108.111717
-541.539139,1000,109.149421
-777.9599,1000,111.907197
-538.633033,1000,112.944681
-495.567583,1000,114.024139
-460.942671,1000,115.062356
-596.220933,1000,116.104449
-328.650006,1000,117.142266
-689.698012,1000,118.180292
-586.228784,1000,119.236021
-687.111801,1000,120.293859
-572.176142,1000,121.333395
-521.980854,1000,124.068671
-646.553265,1000,125.109919
-719.046252,1000,126.157709
-645.075424,1000,127.19427
-329.377432,1000,128.244275
-402.702101,1000,129.289844
-737.897183,1000,130.339131
-421.793034,1000,131.397707
-466.90831,1000,132.433903
-448.558478,1000,133.494376
-665.228213,1000,136.228317
-613.367592,1000,137.279091
-421.246267,1000,138.315194
-638.131429,1000,139.351667
-555.234841,1000,140.387328
-605.184071,1000,141.423139
-671.549497,1000,142.483634
-611.725854,1000,143.531924
-721.099581,1000,144.566933
-662.1365,1000,145.602115
-518.155909,1000,148.284988
-603.812369,1000,149.320699
-797.140328,1000,150.357726
-455.623213,1000,151.397401
-515.657752,1000,152.440966
-534.352954,1000,153.500136
-873.569474,1000,154.534443
-683.584847,1000,155.575592
-739.093533,1000,156.640301
-461.521934,1000,157.696545
-624.163104,1000,160.394264
-526.398376,1000,161.431359
-574.635595,1000,162.468976
-676.566078,1000,163.505692
-519.940441,1000,164.54334
-451.152178,1000,165.596586
-599.314421,1000,166.634331
-521.068656,1000,167.694091
-711.08379,1000,168.7614
-591.19418,1000,169.798399
-514.235658,1000,172.50193
-471.679261,1000,173.564035
-616.973481,1000,174.601098
-394.627833,1000,175.646051
-460.07492,1000,176.684033
-539.373338,1000,177.720473
-643.312758,1000,178.772615
-697.452271,1000,179.812624
-606.32459,1000,180.850299
-613.363767,1000,181.887532
-607.99408,1000,184.589813
-629.777074,1000,185.627694
-462.048426,1000,186.698534
-707.121201,1000,187.741498
-380.842929,1000,188.779859
-523.375581,1000,189.848149
-662.146684,1000,190.898267
-362.225192,1000,191.944798
-615.756275,1000,193.001975
-405.47524,1000,194.070544
-580.99711,1000,196.82081
-514.621491,1000,197.85819
-501.26853,1000,198.895863
-613.358595,1000,199.937681
-544.772376,1000,200.976147
-535.486935,1000,202.031643
-611.674861,1000,203.068533
-423.163601,1000,204.106475
-580.331516,1000,205.153122
-486.64111,1000,206.19349
-363.173121,1000,208.913106
-731.381252,1000,209.950839
-666.124467,1000,211.013643
-604.567288,1000,212.059995
-494.699096,1000,213.098416
-689.552056,1000,214.146773
-335.290168,1000,215.214772
-714.814827,1000,216.254374
-624.810286,1000,217.315679
-641.895741,1000,218.354338
-721.22833,1000,221.108678
-516.809816,1000,222.145443
-463.13897,1000,223.18192
-617.67517,1000,224.217839
-539.258229,1000,225.261497
-535.262114,1000,226.313901
-625.887672,1000,227.385097
-555.152078,1000,228.422504
-456.494812,1000,229.460751
-609.084865,1000,230.497917
-625.280069,1000,233.228873
-282.110971,1000,234.296379
-524.949242,1000,235.337084
-531.354776,1000,236.390762
-588.120386,1000,237.43849
-468.281001,1000,238.490267
-419.211531,1000,239.529709
-642.388318,1000,240.582177
-383.295625,1000,241.619741
-529.490641,1000,242.656603
-616.380095,1000,245.393244
-623.780033,1000,246.429294
-550.681419,1000,247.465495
-457.224875,1000,248.528012
-701.394339,1000,249.570894
-525.207504,1000,250.608326
-433.75201,1000,251.660471
-537.772012,1000,252.698648
-573.13778,1000,253.744207
-401.110927,1000,254.789333
-633.668487,1000,257.522909
-560.161993,1000,258.560901
-572.000801,1000,259.599001
-581.297944,1000,260.63682
-611.650313,1000,261.67454
-476.038505,1000,262.712942
-562.33516,1000,263.750625
-427.461306,1000,264.798783
-568.325952,1000,265.842976
-439.924014,1000,266.892809
-651.827029,1000,269.62768
-495.72894,1000,270.665108
-711.623148,1000,271.702667
-668.826637,1000,272.741674
-650.429062,1000,273.780325
-441.286021,1000,274.846385
-577.479464,1000,275.891993
-400.590564,1000,276.964646
-414.961617,1000,278.012211
-605.275061,1000,279.048664
-495.066759,1000,281.741914
-586.611104,1000,282.808569
-624.440086,1000,283.843991
-603.1383,1000,284.882363
-531.86596,1000,285.921932
-708.576429,1000,286.960266
-597.207296,1000,287.999467
-700.508313,1000,289.037714
-486.3485,1000,290.075821
-528.521928,1000,291.115742
-580.463528,1000,293.82213
-411.119784,1000,294.862109
-430.163691,1000,295.903521
-620.740435,1000,296.943643
-532.121755,1000,297.982341
-450.619381,1000,299.022318
-556.546284,1000,300.062532
-397.726661,1000,301.103216
-466.036778,1000,302.144048
-631.983951,1000,303.184467
-660.538868,1000,305.907732
-544.189795,1000,306.9471
-488.885077,1000,307.986657
-423.054742,1000,309.02568
-406.76683,1000,310.064655
-572.390322,1000,311.106757
-536.273547,1000,312.14834
-631.015504,1000,313.188004
-536.150756,1000,314.228524
-613.789396,1000,315.268245
-609.532704,1000,318.005075
-395.219367,1000,319.044839
-479.778688,1000,320.085629
-511.391602,1000,321.125809
-565.080541,1000,322.164966
-597.123313,1000,323.205452
-526.927701,1000,324.245969
-451.5367,1000,325.285881
-488.099412,1000,326.327479
-464.423372,1000,327.367013
-576.975245,1000,330.087913
-551.267468,1000,331.127481
-615.245875,1000,332.166982
-653.189651,1000,333.205496
-449.709518,1000,334.244567
-589.566639,1000,335.283412
-503.360826,1000,336.322599
-475.157591,1000,337.362102
-520.633787,1000,338.401513
-656.444365,1000,339.440023
-495.000589,1000,342.162159
-431.596719,1000,343.203851
-532.242905,1000,344.244617
-553.021398,1000,345.2889
-472.961961,1000,346.329242
-332.996832,1000,347.371243
-556.072822,1000,348.41206
-442.105663,1000,349.452492
-480.16474,1000,350.492957
-546.954137,1000,351.5331
-580.112595,1000,354.261917
-483.241178,1000,355.301119
-481.150636,1000,356.341159
-535.57727,1000,357.380014
-598.100124,1000,358.418566
-612.9869,1000,359.457461
-625.161041,1000,360.495771
-570.585626,1000,361.534434
-547.442153,1000,362.573208
-566.307769,1000,363.612312
