# {"t_start": 1568601467.3198175, "env_id": "HalfCheetah-v2"} 
r,l,t
-341.913526,1000,4.313083
-602.304705,1000,8.092634
-747.134681,1000,11.983099
-671.898159,1000,16.014547
-639.090068,1000,19.827568
-626.623428,1000,23.569227
-671.333303,1000,27.539565
-465.404823,1000,31.476441
-596.026355,1000,35.312685
-626.436339,1000,39.069971
-524.792255,1000,42.984533
-681.490372,1000,46.934038
-579.239928,1000,50.732587
-693.690638,1000,54.609774
-708.056855,1000,58.652559
-755.747803,1000,62.683585
-630.289731,1000,66.46365
-681.370865,1000,70.20478
-647.927176,1000,74.014721
-618.007133,1000,77.824785
-363.465929,1000,81.53525
-669.097584,1000,85.430417
-752.111668,1000,89.323828
-597.090298,1000,93.106319
-560.902318,1000,96.914443
-582.447913,1000,100.73939
-573.285425,1000,104.611367
-632.426209,1000,108.637307
-400.071096,1000,112.547873
-733.578151,1000,116.31957
-573.209302,1000,120.161169
-696.805976,1000,124.131148
-747.032546,1000,128.037313
-695.363991,1000,131.796375
-576.0959,1000,135.644327
-648.490117,1000,139.614557
-623.836218,1000,143.608408
-582.895597,1000,147.526201
-731.252365,1000,151.424662
-651.751424,1000,155.294666
-445.112193,1000,159.317582
-452.069918,1000,163.268768
-646.244089,1000,167.18857
-574.153204,1000,170.995387
-676.067307,1000,174.720107
-684.213141,1000,178.425195
-751.966775,1000,182.26832
-711.477967,1000,186.039839
-740.738718,1000,189.894522
-565.84566,1000,193.852252
-557.278757,1000,197.775579
-666.825367,1000,201.674278
-684.931882,1000,205.59815
-534.846458,1000,209.400617
