# {"t_start": 1568601467.3238237, "env_id": "HalfCheetah-v2"} 
r,l,t
-523.111381,1000,4.309111
-680.973145,1000,8.088546
-805.489626,1000,11.978981
-746.45509,1000,16.010017
-669.326785,1000,19.823619
-635.636957,1000,23.565215
-583.834514,1000,27.535541
-643.863966,1000,31.472346
-629.218341,1000,35.308698
-618.596647,1000,39.065495
-353.992838,1000,42.980085
-616.918615,1000,46.930573
-615.519632,1000,50.729113
-628.84142,1000,54.605783
-562.816068,1000,58.648554
-618.621184,1000,62.680065
-696.492985,1000,66.459644
-663.104021,1000,70.200856
-498.75825,1000,74.011309
-648.165487,1000,77.821224
-521.008203,1000,81.531294
-644.23238,1000,85.426543
-548.51084,1000,89.320066
-752.638544,1000,93.102424
-551.646472,1000,96.910438
-718.596282,1000,100.735447
-504.193064,1000,104.607298
-642.125595,1000,108.633437
-634.50486,1000,112.543431
-669.050894,1000,116.315004
-577.850082,1000,120.157711
-579.2445,1000,124.127142
-437.206173,1000,128.03328
-589.645923,1000,131.792398
-660.072634,1000,135.640812
-689.747434,1000,139.610405
-541.357087,1000,143.604421
-586.584546,1000,147.522703
-690.803063,1000,151.42071
-539.314205,1000,155.29023
-428.827506,1000,159.313675
-504.990727,1000,163.264463
-744.253856,1000,167.184081
-720.079725,1000,170.991966
-766.93948,1000,174.716101
-525.168024,1000,178.421222
-756.669956,1000,182.264889
-717.704021,1000,186.036369
-520.798885,1000,189.890053
-651.551889,1000,193.848207
-532.113599,1000,197.771608
-641.519975,1000,201.670696
-736.67141,1000,205.594171
-796.762469,1000,209.396694
