# {"t_start": 1568601467.3175974, "env_id": "HalfCheetah-v2"} 
r,l,t
-693.01666,1000,4.315282
-762.505775,1000,8.094828
-666.905189,1000,11.985248
-530.201365,1000,16.016767
-568.343401,1000,19.829372
-659.855011,1000,23.570805
-921.711245,1000,27.541854
-538.882246,1000,31.478662
-704.155763,1000,35.314817
-520.597933,1000,39.072276
-670.592626,1000,42.986753
-560.801183,1000,46.936791
-593.279073,1000,50.735342
-474.790442,1000,54.611523
-513.616618,1000,58.654653
-605.106483,1000,62.686259
-590.963242,1000,66.465788
-624.883769,1000,70.206896
-458.25704,1000,74.017319
-644.040606,1000,77.827525
-648.715722,1000,81.537448
-612.988803,1000,85.432769
-600.227304,1000,89.326079
-702.12106,1000,93.108585
-785.458584,1000,96.916574
-608.909813,1000,100.741532
-684.9079,1000,104.613053
-662.111467,1000,108.639604
-706.730118,1000,112.550187
-607.644713,1000,116.321815
-544.982874,1000,120.163937
-553.254725,1000,124.13327
-641.821555,1000,128.039454
-517.270575,1000,131.798603
-592.924812,1000,135.647004
-726.453701,1000,139.616631
-558.121397,1000,143.610625
-690.614155,1000,147.528755
-524.508533,1000,151.42672
-655.756597,1000,155.296873
-669.842662,1000,159.319855
-682.765491,1000,163.27101
-630.482337,1000,167.190748
-586.660895,1000,170.998077
-733.960253,1000,174.721804
-639.977235,1000,178.427334
-706.562968,1000,182.271031
-746.265632,1000,186.042517
-661.036908,1000,189.896728
-660.150998,1000,193.854462
-653.910024,1000,197.777322
-694.701769,1000,201.676981
-707.788996,1000,205.599885
-873.220181,1000,209.402946
