# {"t_start": 1568601467.300191, "env_id": "HalfCheetah-v2"} 
r,l,t
-627.728117,1000,4.332668
-682.654773,1000,8.111962
-683.316544,1000,12.002465
-755.524909,1000,16.033884
-760.537614,1000,19.847126
-637.98386,1000,23.58832
-648.904987,1000,27.55904
-682.388292,1000,31.495906
-555.550887,1000,35.332183
-669.984444,1000,39.089591
-447.162562,1000,43.004029
-582.985203,1000,46.954088
-594.46251,1000,50.752714
-625.283448,1000,54.629401
-529.106961,1000,58.672104
-745.161475,1000,62.703467
-582.074785,1000,66.483087
-650.598021,1000,70.224296
-595.477468,1000,74.034719
-655.430181,1000,77.844659
-375.548149,1000,81.554934
-615.336902,1000,85.449711
-719.463884,1000,89.342932
-594.3419,1000,93.125918
-743.59256,1000,96.933948
-527.30719,1000,100.758955
-595.819751,1000,104.630675
-490.026918,1000,108.65684
-619.760329,1000,112.5675
-607.939144,1000,116.338965
-625.988416,1000,120.181163
-639.080793,1000,124.150601
-657.412261,1000,128.056698
-619.108999,1000,131.815882
-624.557367,1000,135.66437
-587.396527,1000,139.633555
-666.127395,1000,143.62782
-508.216588,1000,147.546234
-706.351582,1000,151.444006
-770.870691,1000,155.314293
-446.226174,1000,159.337021
-724.936193,1000,163.288207
-635.25955,1000,167.208027
-674.002881,1000,171.015555
-746.108291,1000,174.739647
-601.940239,1000,178.444682
-649.200094,1000,182.288438
-674.360813,1000,186.059858
-634.348136,1000,189.914076
-681.393718,1000,193.871181
-361.59151,1000,197.79513
-707.382103,1000,201.694383
-737.575337,1000,205.617757
-746.291967,1000,209.420168
