# {"t_start": 1568601467.3020656, "env_id": "HalfCheetah-v2"} 
r,l,t
-739.456755,1000,4.330813
-679.332984,1000,8.110008
-720.674944,1000,12.000779
-502.426323,1000,16.032009
-657.002445,1000,19.845256
-534.994649,1000,23.586978
-498.566175,1000,27.557233
-582.372571,1000,31.494057
-678.09037,1000,35.33031
-495.413529,1000,39.087716
-456.981836,1000,43.00226
-583.306884,1000,46.95201
-764.674769,1000,50.7506
-748.277236,1000,54.627363
-471.606114,1000,58.670082
-681.892402,1000,62.701793
-586.254943,1000,66.48125
-554.877319,1000,70.221991
-625.775786,1000,74.032879
-664.338459,1000,77.842982
-456.76113,1000,81.552963
-571.53906,1000,85.447993
-623.253324,1000,89.341413
-742.026765,1000,93.124006
-640.493308,1000,96.932107
-645.721204,1000,100.757109
-695.653887,1000,104.629019
-462.20318,1000,108.655049
-663.471613,1000,112.565591
-555.3118,1000,116.336989
-503.23978,1000,120.179343
-730.315697,1000,124.148734
-742.840549,1000,128.054917
-677.729292,1000,131.813989
-598.887029,1000,135.662394
-623.968162,1000,139.631872
-647.749194,1000,143.626127
-503.892822,1000,147.544363
-670.547879,1000,151.442414
-482.779667,1000,155.312405
-618.617875,1000,159.335257
-593.180309,1000,163.286332
-748.035108,1000,167.206166
-678.200293,1000,171.0136
-659.105831,1000,174.73773
-596.139317,1000,178.442922
-692.765183,1000,182.28654
-816.575947,1000,186.058038
-756.782386,1000,189.912215
-620.839827,1000,193.869879
-427.286073,1000,197.793223
-833.868479,1000,201.692427
-613.988654,1000,205.615825
-430.204071,1000,209.418386
