# {"t_start": 1568601467.3026328, "env_id": "HalfCheetah-v2"} 
r,l,t
-658.48468,1000,4.330078
-567.505187,1000,8.109108
-710.380161,1000,12.00018
-651.077971,1000,16.031621
-567.80653,1000,19.844646
-624.975845,1000,23.586307
-709.190453,1000,27.556672
-621.44584,1000,31.493454
-619.902822,1000,35.329675
-504.230713,1000,39.087075
-729.088008,1000,43.001629
-584.602671,1000,46.951646
-548.516245,1000,50.750236
-654.205399,1000,54.626973
-658.539988,1000,58.669618
-453.343911,1000,62.701157
-504.564549,1000,66.480665
-639.709636,1000,70.221915
-607.032785,1000,74.032222
-643.754024,1000,77.842443
-261.262455,1000,81.552492
-776.467967,1000,85.44699
-573.023575,1000,89.341129
-702.313854,1000,93.123426
-634.955196,1000,96.931516
-764.392816,1000,100.756497
-636.604444,1000,104.628393
-615.295137,1000,108.65405
-605.585341,1000,112.565024
-687.732704,1000,116.336523
-624.238603,1000,120.178838
-644.391625,1000,124.148167
-643.043919,1000,128.054291
-487.751963,1000,131.813356
-574.777189,1000,135.66185
-672.258723,1000,139.631606
-715.630286,1000,143.625415
-619.038507,1000,147.543797
-636.989198,1000,151.441806
-646.851183,1000,155.31179
-213.932309,1000,159.334707
-620.24548,1000,163.285867
-646.735649,1000,167.205624
-570.986468,1000,171.01282
-596.746073,1000,174.737292
-694.235939,1000,178.44238
-685.259839,1000,182.285988
-464.364096,1000,186.057055
-540.950616,1000,189.911634
-696.38972,1000,193.869321
-386.601176,1000,197.792764
-724.105149,1000,201.691714
-615.878928,1000,205.615335
-682.901836,1000,209.417759
