# {"t_start": 1568601467.2990105, "env_id": "HalfCheetah-v2"} 
r,l,t
-568.417645,1000,4.333618
-722.915951,1000,8.113115
-712.547312,1000,12.00359
-629.869769,1000,16.035227
-661.952967,1000,19.84832
-506.185716,1000,23.5895
-607.173727,1000,27.560199
-566.069443,1000,31.497127
-868.265028,1000,35.333138
-573.170624,1000,39.090771
-518.390785,1000,43.005251
-686.798088,1000,46.955249
-587.763978,1000,50.753785
-753.604123,1000,54.630418
-486.452303,1000,58.673291
-600.708937,1000,62.704779
-540.390679,1000,66.484287
-525.861322,1000,70.225432
-578.58845,1000,74.035934
-609.927772,1000,77.846007
-703.36465,1000,81.55593
-575.45151,1000,85.451055
-475.650365,1000,89.344553
-787.46365,1000,93.127131
-605.618834,1000,96.935028
-669.524735,1000,100.759936
-669.882641,1000,104.631826
-752.644603,1000,108.657872
-610.56747,1000,112.568451
-663.381836,1000,116.340267
-586.666023,1000,120.182359
-555.366243,1000,124.151656
-390.4077,1000,128.05795
-669.148474,1000,131.816576
-500.436351,1000,135.665496
-643.282483,1000,139.634735
-472.935989,1000,143.628926
-702.524689,1000,147.547355
-642.358966,1000,151.44522
-567.320225,1000,155.315476
-537.74166,1000,159.338036
-669.261721,1000,163.289197
-564.817681,1000,167.209245
-637.848795,1000,171.016505
-504.098309,1000,174.740552
-673.218245,1000,178.445976
-671.578175,1000,182.289595
-532.765725,1000,186.061062
-583.181702,1000,189.915266
-728.362542,1000,193.872766
-423.667194,1000,197.79622
-549.098515,1000,201.695511
-650.964055,1000,205.61888
-685.135121,1000,209.421216
